Sample_ID,Sample_Name,Class_Label,Class_Name,OPR,NaHCO3_P,DOC,OPR_FeP,FeII,NH4_NO3_Ratio,log_nosZ_norB_Ratio
YY,mean.YY,1,Promoted,1.443894570010132,-0.39298462025921554,0.19195029795009866,0.9601687329685086,-0.5093696595075516,-0.4016042947058851,1.8861624003647415
BB,mean.BB,1,Promoted,0.01001826478349899,-1.071826250653595,-0.03329483657192694,-0.756254247814933,-0.9277381176687494,-0.892205794650157,-0.19757096791614856
SQ,mean.SQ,1,Promoted,-0.6926219759543382,-1.0059416977957716,-0.6479875364074309,0.05870982540417113,0.8975313223275206,3.511679457489257,0.6024174203370564
CY,mean.CY,1,Promoted,-0.541472621842129,-0.502368584749731,-1.0111752888223637,-0.4415832624059815,-0.5973432944573571,-0.3587829775572429,-0.38256083858139006
WZ,mean.WZ,1,Promoted,0.9577655662438375,-0.5083036907575814,1.937783049644526,1.468881455107683,-0.9463633160360583,-0.31856343645912516,0.2977387422922698
SH2,mean.SH2,0,Suppressed_or_neutral,-0.21057808986675242,-0.4835770046055477,-0.13544676875762363,-0.6881095185589459,2.2968505735757705,0.047420239817600275,0.6688997720603618
WF,mean.WF,1,Promoted,-0.5741535632717957,-0.9852455228656697,2.7721493136838484,-0.12555347183707083,-0.5139347974211478,3.811251840904488,-1.9434697294304766
LS1,mean.LS1,1,Promoted,-0.2759399727260859,-0.332081784711401,-0.024518809441619136,-0.4766834390478988,0.1865346194363383,0.9361229573587124,-0.277022922192978
DL,mean.DL,1,Promoted,0.4471258564052931,0.4636890024594801,-0.6020094283105888,-1.0302900760383285,-0.891297512167493,0.4679313945586388,0.34696881058898826
ZY,mean.ZY,1,Promoted,-0.10436503022033483,1.3846217364378273,-0.41138813028020665,-1.0705061386813555,-0.365743001716038,1.0892444554821887,0.5357667957743585
BJ,mean.BJ,1,Promoted,-0.7702392118497972,-0.4941690710599418,-0.6812492674762993,0.1277803985539719,-1.0785049889085887,-0.006475154089072919,0.03470853083196246
ZQ,mean.ZQ,1,Promoted,1.0190423314244628,0.3110986980665914,0.7271073505268196,-0.2693312691809136,-0.9747060092037023,-0.5287694904216176,1.1290995511193223
RL,mean.RL,0,Suppressed_or_neutral,1.3744475694720892,-0.12333163188805668,-0.7153543437511842,0.501252596305462,1.520260780782326,-0.388175868541027,0.017522761598293725
LZ,mean.LZ,1,Promoted,-1.3666663929412168,-0.629803536244541,-0.5831638878105854,0.8256761866256768,1.7980191738252365,-0.9091156206364198,0.6767000946833793
HF,mean.HF,1,Promoted,0.3368276790801674,-0.24247478539779785,-0.22049522567309218,-0.4373698354559783,-0.2062141287438707,-0.7715516245691222,0.9243962789287747
AY,mean.AY,1,Promoted,0.23878485479116665,-0.8215464354585209,-1.033169029102323,-0.9275241308945341,-0.048304838238425914,-0.5333880412568207,0.045269324345015655
MH,mean.MH,1,Promoted,-0.006322205931334663,1.9001803074809156,2.453889943196514,-0.7776508514807273,0.08369113279945878,-0.6995054949965201,-1.7098941847130182
HZ,mean.HZ,1,Promoted,1.0394679198180046,1.6594903037101725,-0.5505913415846421,-1.1636914500582582,-0.6815615827269276,-0.44097173934135037,-1.3866370586823704
