source_row_index,Sample_ID,Sample_Name,Class_Label,Class_Name,feature,shap_value,display_name,feature_value_raw,feature_value_imputed,feature_value_scaled
0,YY,mean.YY,1,Promoted,OPR,0.31874125806345693,ORP,278.6,278.6,1.443894570010132
1,BB,mean.BB,1,Promoted,OPR,0.002211542578682132,ORP,208.4,208.4,0.01001826478349899
2,SQ,mean.SQ,1,Promoted,OPR,-0.15289703594946957,ORP,174.0,174.0,-0.6926219759543382
3,CY,mean.CY,1,Promoted,OPR,-0.11953065568469275,ORP,181.4,181.4,-0.541472621842129
4,WZ,mean.WZ,1,Promoted,OPR,0.2114277647794449,ORP,254.8,254.8,0.9577655662438375
5,SH2,mean.SH2,0,Suppressed_or_neutral,OPR,-0.04648533672666787,ORP,197.6,197.6,-0.21057808986675242
6,WF,mean.WF,1,Promoted,OPR,-0.1267450081743742,ORP,179.8,179.8,-0.5741535632717957
7,LS1,mean.LS1,1,Promoted,OPR,-0.06091404170603078,ORP,194.4,194.4,-0.2759399727260859
8,DL,mean.DL,1,Promoted,OPR,0.09870350712817187,ORP,229.8,229.8,0.4471258564052931
9,ZY,mean.ZY,1,Promoted,OPR,-0.023038691135202998,ORP,202.8,202.8,-0.10436503022033483
10,BJ,mean.BJ,1,Promoted,OPR,-0.17003112311246313,ORP,170.2,170.2,-0.7702392118497972
11,ZQ,mean.ZQ,1,Promoted,OPR,0.22495467569759767,ORP,257.8,257.8,1.0190423314244628
12,RL,mean.RL,0,Suppressed_or_neutral,OPR,0.3034107590228836,ORP,275.2,275.2,1.3744475694720892
13,LZ,mean.LZ,1,Promoted,OPR,-0.30169305604915,ORP,141.0,141.0,-1.3666663929412168
14,HF,mean.HF,1,Promoted,OPR,0.07435506747549687,ORP,224.4,224.4,0.3368276790801674
15,AY,mean.AY,1,Promoted,OPR,0.052712010006452405,ORP,219.6,219.6,0.23878485479116665
16,MH,mean.MH,1,Promoted,OPR,-0.0013956336661586565,ORP,207.6,207.6,-0.006322205931334663
17,HZ,mean.HZ,1,Promoted,OPR,0.2294636460036486,ORP,258.8,258.8,1.0394679198180046
18,HK,mean.HK,0,Suppressed_or_neutral,OPR,0.30701793526772436,ORP,276.0,276.0,1.3907880401869228
19,GL,mean.GL,0,Suppressed_or_neutral,OPR,0.23757979255454031,ORP,260.6,260.6,1.07623397892638
20,YC2,mean.YC2,1,Promoted,OPR,0.041890481271930166,ORP,217.2,217.2,0.18976344264666628
21,LY,mean.LY,1,Promoted,OPR,-0.10059298039927893,ORP,185.6,185.6,-0.45568515058925374
22,YT1,mean.YT1,0,Suppressed_or_neutral,OPR,-0.291773321375838,ORP,143.2,143.2,-1.3217300984754252
23,CQ,mean.CQ,1,Promoted,OPR,0.03287254065982832,ORP,215.2,215.2,0.14891226585958273
24,SY,mean.SY,1,Promoted,OPR,0.3412861095937115,ORP,283.6,283.6,1.5460225119778408
25,TZ,mean.TZ,1,Promoted,OPR,0.5459933614884233,ORP,329.0,329.0,2.473344225044637
26,SH1,mean.SH1,1,Promoted,OPR,-0.007708192094629972,ORP,206.2,206.2,-0.03491802968229327
27,XN,mean.XN,0,Suppressed_or_neutral,OPR,-0.2656212936007426,ORP,149.0,149.0,-1.2032616857928826
28,CF,mean.CF,0,Suppressed_or_neutral,OPR,-0.5054985138826517,ORP,95.8,95.8,-2.289902988329305
29,ATS,mean.ATS,1,Promoted,OPR,-0.2836571748249463,ORP,145.0,145.0,-1.2849640393670496
30,YT2,mean.YT2,1,Promoted,OPR,0.22405288163638756,ORP,257.6,257.6,1.0149572137457548
