Sample_ID,Sample_Name,Class_Label,Class_Name,ORP,NaHCO$_3$-P,DOC,ORP x FeP,Fe(II),NH$_4^+$/NO$_3^-$,log$_{10}$(nosZ/norB)
YY,mean.YY,1,Promoted,0.31874125806345693,0.20651213695863863,0.10337815984270542,-1.2155508822770107,0.6119312669527854,-0.10944996762675482,-1.1008039232636244
BB,mean.BB,1,Promoted,0.002211542578682132,0.5632412009529494,-0.017931511301765523,0.9573999721019126,1.114538235933178,-0.24315450962091453,0.11530655926712938
SQ,mean.SQ,1,Promoted,-0.15289703594946957,0.5286190831859515,-0.34898491864921843,-0.07432524890467355,-1.0782493007782805,0.9570445535678849,-0.3515834371532093
CY,mean.CY,1,Promoted,-0.11953065568469275,0.2639930537462835,-0.5445859774807325,0.5590339549558695,0.7176183978771553,-0.09777979418130833,0.2232705263958079
WZ,mean.WZ,1,Promoted,0.2114277647794449,0.2671119326071122,1.0436266470329503,-1.8595691438486404,1.136913618960846,-0.08681868761650989,-0.17376657257059516
SH2,mean.SH2,0,Suppressed_or_neutral,-0.04648533672666787,0.25411813963426283,-0.0729472048771906,0.8711303583085629,-2.759321556074377,0.012923526419682077,-0.39038393152774176
WF,mean.WF,1,Promoted,-0.1267450081743742,0.5177433107222201,1.4929890597635724,0.15894772264938853,0.6174155956228162,1.0386875740706394,1.1342496820461778
LS1,mean.LS1,1,Promoted,-0.06091404170603078,0.17450789539945566,-0.013205029784676458,0.6034699475269386,-0.22409337476556512,0.2551233359010979,0.16167638562035486
DL,mean.DL,1,Promoted,0.09870350712817187,-0.2436670593341907,-0.3242226116413064,1.3043228423589102,1.0707603126181757,0.12752621588245863,-0.20249827261566242
ZY,mean.ZY,1,Promoted,-0.023038691135202998,-0.7276142091325297,-0.2215602077395846,1.3552354254799046,0.4393853741418062,0.2968538234319851,-0.31268473522149826
BJ,mean.BJ,1,Promoted,-0.17003112311246313,0.2596842360297452,-0.36689860040852723,-0.1617669591466304,1.2956620245418213,-0.001764685823258703,-0.02025662631338226
ZQ,mean.ZQ,1,Promoted,0.22495467569759767,-0.1634813517648736,0.39159626584746876,0.3409670098978157,1.1709631148725146,-0.14410653564112297,-0.6589661714107942
RL,mean.RL,0,Suppressed_or_neutral,0.3034107590228836,0.06481037054070693,-0.3852664803453914,-0.634573918897576,-1.8263653680946563,-0.10579029359339231,-0.010226651061480576
LZ,mean.LZ,1,Promoted,-0.30169305604915,0.330959705365003,-0.3140730191742084,-1.0452865029514316,-2.1600504280290083,-0.2477629760421363,-0.39493636335677157
HF,mean.HF,1,Promoted,0.07435506747549687,0.1274197093465321,-0.11875152540847972,0.553699856197361,0.24773535429612856,-0.21027240356905233,-0.5394970498289616
AY,mean.AY,1,Promoted,0.052712010006452405,0.43171997388951994,-0.5564310875039098,1.1742235889689676,0.05803101993111778,-0.14536523791612155,-0.026420126831523175
MH,mean.MH,1,Promoted,-0.0013956336661586565,-0.9985385576813927,1.3215849597176752,0.9844875657410828,-0.10054234674322465,-0.19063753747498036,0.9979300968642788
HZ,mean.HZ,1,Promoted,0.2294636460036486,-0.872056745262136,-0.29653050985700546,1.4732058233590941,0.8187940428718277,-0.1201788507530054,0.8092704605102464
HK,mean.HK,0,Suppressed_or_neutral,0.30701793526772436,-0.9677726407933966,-0.028819530587629597,-1.7405999936564467,0.5327782772138114,-0.18486518652268935,-0.5878050808837002
GL,mean.GL,0,Suppressed_or_neutral,0.23757979255454031,-0.04183489374243349,0.26561109308573533,-4.87486223696021,1.0600590424745084,0.0016760197007591445,-0.765740559324758
YC2,mean.YC2,1,Promoted,0.041890481271930166,0.5641954730154399,0.21160885506175311,1.200990588005365,-1.0792221435186138,0.19072788733205998,0.40145711724097877
LY,mean.LY,1,Promoted,-0.10059298039927893,-0.32385284045000856,-0.10244949233110424,0.3169709562161705,1.006820078952566,0.03256091403222578,0.18658579623165783
YT1,mean.YT1,0,Suppressed_or_neutral,-0.291773321375838,0.4897901486376078,-0.37745416331880033,-0.9860901968849426,-0.39531369706424146,0.16008334820545506,-0.7092789218387802
CQ,mean.CQ,1,Promoted,0.03287254065982832,0.16694017365909095,-0.15752043778917835,1.112158174715925,0.9861229942091707,-0.2018861370438712,-0.1722804447177874
SY,mean.SY,1,Promoted,0.3412861095937115,0.17079828908390607,-0.29862078715155105,1.4740905660427037,1.323413700645813,-0.23020228515999605,0.28792997914115026
TZ,mean.TZ,1,Promoted,0.5459933614884233,-1.735496591126854,1.2453624299590735,-0.8823904980971788,0.8538163815238299,-0.24049403246983822,0.79836592772382
SH1,mean.SH1,1,Promoted,-0.007708192094629972,-0.04150039459641913,-0.20606514920369579,0.9721835315529435,1.0211453328611728,-0.13725059704187442,0.5891282980933505
XN,mean.XN,0,Suppressed_or_neutral,-0.2656212936007426,-0.13431446269081065,-1.086860938000399,-0.6272324056971386,-1.8993285736196603,0.09877273435086723,-0.1719235686920285
CF,mean.CF,0,Suppressed_or_neutral,-0.5054985138826517,0.14907292194160782,-0.10586648442133846,-2.402964580688429,0.8129569864298275,-0.21084193081118555,0.2885207046385041
ATS,mean.ATS,1,Promoted,-0.2836571748249463,0.5684640121645955,-0.343642284977708,-0.9982541699071165,-1.6376338764699787,0.0018364844249999202,0.11934179468886671
YT2,mean.YT2,1,Promoted,0.22405288163638756,0.034337999121029895,1.0221658078029943,0.173594518053839,1.1456692036238465,-0.20627618548182713,-0.21817429792949408
JC,mean.JC,1,Promoted,0.03828330502708951,0.32299918120340987,-0.3601138352366393,1.1865989993516066,-0.03925325410222113,-0.013077108998457798,-0.03900678784961614
XY,mean.XY,0,Suppressed_or_neutral,-0.24037105988685745,0.5470686285999645,0.018326680707976287,-0.6863453131411137,-1.7923158721829877,0.014842329130024834,-0.785960358785527
WH,mean.WH,1,Promoted,-0.13937012503131682,0.5182112006037344,0.2045494603612485,0.27074227365162407,-2.443147665466025,0.3979978273885412,0.2703023022512218
TH1,mean.TH1,1,Promoted,-0.03386021986972524,-1.0568177234776153,0.6054944909263834,1.3920349946352246,0.3897703943848034,-0.10820234387236687,1.9498306791548699
YC1,mean.YC1,1,Promoted,-0.42523884243494525,-0.1773958509163803,-0.3187892711946274,-1.7286237871091745,0.9356668124644084,-0.02661247895333384,-0.33677178143344494
XC,mean.XC,1,Promoted,-0.14658447752099826,0.5289158117008392,-0.27614935074456465,0.008697088705104073,0.19520184631812565,0.012713113003695613,0.6485396505049584
LS2,mean.LS2,1,Promoted,0.035577922843458974,0.34663715678101464,-0.34472670554622675,1.10890134061782,-0.3554271447105725,-0.16421652719429078,-0.4391019941795156
NJ,mean.NJ,1,Promoted,0.16543626765772543,-0.10114507745905664,-0.3287323108619603,0.3321441335001225,0.41117293467213795,-0.21169033214797905,-0.42871741283213805
BS,mean.BS,1,Promoted,0.20691879447339398,-0.07942131885245848,0.3348876464710692,-0.18864938103555295,-0.4206076083129096,-0.1292070931072037,-0.283114995881864
WL,mean.WL,0,Suppressed_or_neutral,-0.09337862790959749,-0.08759396640606851,-0.4320969566623829,0.3090146255489346,-2.6240964151680357,0.18144144991535127,-0.3449263646057595
SN,mean.SN,1,Promoted,-0.15650421219431038,-0.6453680612039971,0.08811482561919641,-0.08716063893992625,0.8606262807061634,-0.012907418094256023,0.48312046973628453
