ID,样本代码,Response_Group,LNRR_24h,LNRR_48h,LNRR_72h,LNRR_cum,OPR_FeP,FeII_FeIII_Ratio,FeII,log_nosZ_norB_Ratio,log_Source_Sink_Ratio,log_Sink_Source_Ratio,log_DNRA_Advantage,NO3,NH4_NO3_Ratio,pH,SOC,Trajectory_cluster,轨迹类型
1,YY,Promoted,0.10439922133823992,0.26984067862710964,0.32957859557726454,0.1665140856299654,1.107852371601633,0.3843659714670315,5.588016272,0.488045710232009,0.052820989538805076,-0.05282098953880511,-1.1180360494087518,0.01329303517862014,1.448768818426598,5.48,19.64,3,延迟促排型
2,BB,Promoted,0.48360626810487317,-0.5614861341638517,1.7388686058400236,0.7251425226660873,-0.007236968249441855,0.1932480957796734,1.670276144,0.051349481910188864,0.32790757603522375,-0.32790757603522375,-0.7549673962250675,0.008101388300031572,0.07678790725690963,8.03,3.42,4,持续促排型
3,SQ,Promoted,1.394535895661438,0.3409047072358919,0.06027869303669124,1.080996272963314,0.5222116353770616,4.764997232331288,18.762700752,0.2190062066953022,0.22979954978878545,-0.22979954978878542,-0.4935342913057369,0.006100777472129724,12.39237703938005,8.092,17.12,2,混合响应型
4,CY,Promoted,0.3233737596949123,1.4769310418510657,0.133388851079839,0.3439253820819783,0.1971918149341747,0.5549759520625497,4.76420216,0.012580424396894524,0.46302866527855563,-0.4630286652785556,-1.0970683783880724,0.008800875831485588,1.568519837789062,6.926,11.54,1,早期促排后减弱/反转型
5,WZ,Promoted,0.3876878514001437,1.2321709493487267,-0.04857374838477102,0.5122010455546112,1.438342081804124,0.06827933394193901,1.495863648,0.15515349330231845,0.40998037696147577,-0.40998037696147577,-1.5354800591616806,0.0177561337539432,1.680994917153659,5.756,10.474,1,早期促排后减弱/反转型
6,SH2,Suppressed,-0.17975887853453487,0.19840936952960253,-0.2524197485609252,-0.1036470698067401,0.03703385660615727,3.524196891675339,31.866387408,0.2329391756103628,0.20881809342175184,-0.20881809342175184,-0.6588550907600551,0.009060376068376072,2.704478574884854,7.840000000000001,18.25,3,延迟促排型
7,WF,Promoted,0.38244611633711406,0.7994958785870805,-0.49846581794185635,0.4262950312873049,0.4025033578837514,0.9563261624106882,5.545266816,-0.3145454141407669,0.6455993052193769,-0.6455993052193769,-0.9353927377356391,0.008765804392716348,13.23013964631458,7.68,10.32,1,早期促排后减弱/反转型
8,LS1,Promoted,0.7935342290741694,0.03192216209027773,-0.05080056215908109,0.3065037814770032,0.1743886753593208,1.684154672899797,12.104693296,0.03469842218553983,0.4973696810176838,-0.49736968101768375,-0.6233817110649298,0.006544520056709198,5.189760752598402,7.572,17.56,2,混合响应型
9,DL,Promoted,0.543176715234068,-0.10761350949220284,0.48460242826942795,0.256488933693225,-0.1852667628923058,0.07971140031250236,2.011517984,0.16547083306970872,0.24929727602162507,-0.24929727602162507,-0.44287855757014305,0.00727023471512398,3.880449861772812,7.292,21.0,2,混合响应型
10,ZY,Promoted,0.13089996267393944,0.052624436905703266,0.13839758214628745,0.1060696098197843,-0.2113934829642741,0.2617296786980305,6.932983632,0.205037972176969,0.2837255359012445,-0.28372553590124444,-0.9046538776151158,0.01045866884442629,5.617969334388262,7.302,36.44,3,延迟促排型
