ID,Site,样本名,LNRR,LNRR_SE_proxy,LNRR_CI_low,LNRR_CI_high,Weight_proxy,CI_class,Response_Group,y,Color,PointSize
23,YT1,mean.YT1,-0.7990489233152508,0.3584444689635213,-1.501600082483753,-0.09649776414674904,7.783164927260418,CI-negative,Suppressed,0,#D62728,26.89874418244838
20,GL,mean.GL,-0.2025888701428038,0.2841663213163046,-0.7595548599227608,0.3543771196371532,12.38382452934576,CI-crosses-zero,Suppressed,1,#D62728,28.843389424675443
13,RL,mean.RL,-0.1912163737456066,0.158739647850806,-0.5023460835331863,0.1199133360419731,39.68525497320022,CI-crosses-zero,Suppressed,2,#D62728,40.383386166570844
33,XY,mean.XY,-0.1770002440267771,0.1588717248353089,-0.4883888247039826,0.1343883366504284,39.61929823905838,CI-crosses-zero,Suppressed,3,#D62728,40.35550702307072
29,CF,mean.CF,-0.1720061397216955,0.134175831126511,-0.434990768729657,0.09097848928626603,55.54582374674207,CI-crosses-zero,Suppressed,4,#D62728,47.08746390153368
19,HK,mean.HK,-0.1419516945771779,0.1514862687412695,-0.4388647813100661,0.1549613921557103,43.57661211382791,CI-crosses-zero,Suppressed,5,#D62728,42.02821751768796
41,WL,mean.WL,-0.1101422414887724,0.1706810581375047,-0.4446771154382815,0.2243926324607368,34.32648598300031,CI-crosses-zero,Suppressed,6,#D62728,38.11829691365966
6,SH2,mean.SH2,-0.1036470698067401,0.1397493231140781,-0.3775557431103331,0.1702616034968529,51.2036091624209,CI-crosses-zero,Suppressed,7,#D62728,45.252060358897815
28,XN,mean.XN,-0.02504187935760721,0.2888407145864499,-0.5911696799470492,0.5410859212318346,11.98624577298218,CI-crosses-zero,Suppressed,8,#D62728,28.675337513896707
11,BJ,mean.BJ,0.01726482324828967,0.1254883702463886,-0.228692382434632,0.2632220289312114,63.50282443033021,CI-crosses-zero,Promoted,9,#1F78B4,50.45079543658649
31,YT2,mean.YT2,0.02523669812575705,0.292358187738891,-0.5477853498424693,0.5982587460939833,11.69955861924313,CI-crosses-zero,Promoted,10,#1F78B4,28.554158192289524
30,ATS,mean.ATS,0.02710176553964556,0.3108016119726212,-0.5820693939266919,0.6362729250059831,10.35221957023049,CI-crosses-zero,Promoted,11,#1F78B4,27.9846536651253
14,LZ,mean.LZ,0.04365065314360148,0.1591327659569625,-0.268249568132045,0.355550874419248,39.48942199048835,CI-crosses-zero,Promoted,12,#1F78B4,40.300609845121386
36,YC1,mean.YC1,0.06996911483900871,0.07162587948784432,-0.07041760895716616,0.2103558386351836,194.9216435616754,CI-crosses-zero,Promoted,13,#1F78B4,105.99999999999957
10,ZY,mean.ZY,0.1060696098197843,0.07162587948784432,-0.03431711397639056,0.2464563336159592,194.9216435616754,CI-crosses-zero,Promoted,14,#1F78B4,105.99999999999957
26,TZ,mean.TZ,0.10905446783198,0.1291035344457438,-0.1439884596816779,0.3620973953456379,59.99619885784651,CI-crosses-zero,Promoted,15,#1F78B4,48.96858563938453
22,LY,mean.LY,0.1143926935113369,0.1940708616730591,-0.265986195367859,0.4947715823905328,26.55090517992711,CI-crosses-zero,Promoted,16,#1F78B4,34.83164944958851
1,YY,mean.YY,0.1665140856299654,0.07162587948784432,0.02612736183379052,0.3069008094261403,194.9216435616754,CI-positive,Promoted,17,#1F78B4,105.99999999999957
12,ZQ,mean.ZQ,0.1898201250417681,0.2806210726114016,-0.3601971772765791,0.7398374273601154,12.69870514861289,CI-crosses-zero,Promoted,18,#1F78B4,28.976485795867475
9,DL,mean.DL,0.256488933693225,0.2078565986218455,-0.1509099996055922,0.6638878669920423,23.14580914055999,CI-crosses-zero,Promoted,19,#1F78B4,33.39235500379207
24,CQ,mean.CQ,0.2893026307413875,0.1794117736513316,-0.0623444456152224,0.6409497070979975,31.06691439731157,CI-crosses-zero,Promoted,20,#1F78B4,36.740513959899076
8,LS1,mean.LS1,0.3065037814770032,0.2687209652915091,-0.2201893104943546,0.833196873448361,13.84831387025641,CI-crosses-zero,Promoted,21,#1F78B4,29.462412016088916
4,CY,mean.CY,0.3439253820819783,0.4197813112601553,-0.478845987987926,1.166696752151883,5.674842340493297,CI-crosses-zero,Promoted,22,#1F78B4,26.00758077501477
35,TH1,mean.TH1,0.3513868676072651,0.2048593329516412,-0.05013742497795154,0.7529111601924818,23.82804938186331,CI-crosses-zero,Promoted,23,#1F78B4,33.680730009564066
18,HZ,mean.HZ,0.3583278183816975,1.0395879469253,-1.679264557591891,2.395920194355286,0.9252892760196587,CI-crosses-zero,Promoted,24,#1F78B4,24.0
17,MH,mean.MH,0.4202895398187155,0.7141425590941852,-0.9794298760058875,1.820008955643318,1.960785871936679,CI-crosses-zero,Promoted,25,#1F78B4,24.437692353435498
7,WF,mean.WF,0.4262950312873049,0.3825819379052565,-0.3235655670069977,1.176155629581608,6.832050607103903,CI-crosses-zero,Promoted,26,#1F78B4,26.496719234402228
42,SN,mean.SN,0.5045617639035808,0.3010058461117637,-0.0854096944754762,1.094533222282638,11.03697703706594,CI-crosses-zero,Promoted,27,#1F78B4,28.274092672818334
5,WZ,mean.WZ,0.5122010455546112,0.3759272142124943,-0.2246162943018775,1.2490183854111,7.076075648567989,CI-crosses-zero,Promoted,28,#1F78B4,26.59986577792227
40,BS,mean.BS,0.5226858796343572,0.3218289976232422,-0.1080989557071976,1.153470714975912,9.654941680952104,CI-crosses-zero,Promoted,29,#1F78B4,27.6899224206575
38,LS2,mean.LS2,0.5405168591463604,0.3015844773335047,-0.05058871642730889,1.13162243472003,10.99466575480658,CI-crosses-zero,Promoted,30,#1F78B4,28.256208186493613
15,HF,mean.HF,0.5861919539862114,0.2616891634346789,0.07328119365424068,1.099102714318182,14.60254395907307,CI-positive,Promoted,31,#1F78B4,29.78121629213164
34,WH,mean.WH,0.658000638063182,0.3312832562580676,0.008685455797369457,1.307315820328995,9.111733886064586,CI-positive,Promoted,32,#1F78B4,27.46031481104651
2,BB,mean.BB,0.7251425226660873,0.6649784288763069,-0.5782151979314742,2.028500243263649,2.261439038310237,CI-crosses-zero,Promoted,33,#1F78B4,24.564774945958497
32,JC,mean.JC,0.7458502465524116,0.3979147741015551,-0.03406271068663647,1.52576320379146,6.315676425138768,CI-crosses-zero,Promoted,34,#1F78B4,26.278453880514224
16,AY,mean.AY,0.7499491251907943,0.562526532662737,-0.3526028788281702,1.852501129209759,3.160195692461752,CI-crosses-zero,Promoted,35,#1F78B4,24.944668918254003
27,SH1,mean.SH1,0.8320293321051008,0.6092950627549796,-0.3621889908946593,2.026247655104861,2.693671814871445,CI-crosses-zero,Promoted,36,#1F78B4,24.747474707552108
39,NJ,mean.NJ,0.9280647745066047,0.3918443388066054,0.1600498704456581,1.696079678567551,6.51287655576998,CI-positive,Promoted,37,#1F78B4,26.36180807946968
3,SQ,mean.SQ,1.080996272963314,0.4061425532319884,0.2849568686286167,1.877035677298011,6.062377981782364,CI-positive,Promoted,38,#1F78B4,26.171387577996803
37,XC,mean.XC,1.249903840618026,0.9195092156458025,-0.5523342220477467,3.052141903283799,1.182736031261238,CI-crosses-zero,Promoted,39,#1F78B4,24.108819745646993
21,YC2,mean.YC2,1.465845426698962,0.1918626652677393,1.089794602774193,1.841896250623731,27.16558448597672,CI-positive,Promoted,40,#1F78B4,35.09146723473023
25,SY,mean.SY,1.769516855120657,0.486313671595109,0.8163420587942435,2.722691651447071,4.228312160226079,CI-positive,Promoted,41,#1F78B4,25.396149311682976
