N2O排放速率(mg N/kg/d),时间,处理,ID,样本代码,rate,log10_rate_plus_1e4
0.077725104,24 h,CK,1,YY,0.077725104,-1.1088802902844328
0.009234296000000001,24 h,CK,2,BB,0.009234296000000001,-2.029918431313689
0.012622424,24 h,CK,3,SQ,0.012622424,-1.8954301347937685
0.007633032,24 h,CK,4,CY,0.007633032,-2.111650192667591
0.0024534,24 h,CK,5,WZ,0.0024534,-2.5928811459535765
0.002875176,24 h,CK,6,SH2,0.002875176,-2.5264873379798196
0.006895271999999999,24 h,CK,7,WF,0.006895271999999999,-2.1551953939952506
0.00298352,24 h,CK,8,LS1,0.00298352,-2.5109532303537883
0.002644568,24 h,CK,9,DL,0.002644568,-2.561526004576693
0.00507616,24 h,CK,10,ZY,0.00507616,-2.285992307678781
0.002584016,24 h,CK,11,BJ,0.002584016,-2.571214899571973
0.003198352,24 h,CK,12,ZQ,0.003198352,-2.4817029983276093
0.003058688,24 h,CK,13,RL,0.003058688,-2.500493269495341
0.003966968,24 h,CK,14,LZ,0.003966968,-2.3907292447279658
0.001378312,24 h,CK,15,HF,0.001378312,-2.830233897755388
0.000619208,24 h,CK,16,AY,0.000619208,-3.143145490439828
0.016052544,24 h,CK,17,MH,0.016052544,-1.7917590672553727
0.000652152,24 h,CK,18,HZ,0.000652152,-3.123694385351648
0.0005804639999999999,24 h,CK,19,HK,0.0005804639999999999,-3.1671948462356885
0.00038512,24 h,CK,20,GL,0.00038512,-3.314150820384059
0.0007959919999999999,24 h,CK,21,YC2,0.0007959919999999999,-3.0476958679844883
0.0007656,24 h,CK,22,LY,0.0007656,-3.0626827522375057
0.00201956,24 h,CK,23,YT1,0.00201956,-2.673754285016924
0.002692128,24 h,CK,24,CQ,0.002692128,-2.5540646761565196
0.008787464,24 h,CK,25,SY,0.008787464,-2.051222145433262
0.10202896,24 h,CK,26,TZ,0.10202896,-0.9908510905789348
0.033485024,24 h,CK,27,SH1,0.033485024,-1.4738543370165065
0.005261992,24 h,CK,28,XN,0.005261992,-2.270673838312566
0.007891248,24 h,CK,29,CF,0.007891248,-2.0973853912505955
0.005756384,24 h,CK,30,ATS,0.005756384,-2.232370454556657
0.09969735999999998,24 h,CK,31,YT2,0.09969735999999998,-1.000880947215606
0.012766032,24 h,CK,32,JC,0.012766032,-1.8905553727703983
0.09588861600000001,24 h,CK,33,XY,0.09588861600000001,-1.0177802701015113
0.03629292,24 h,CK,34,WH,0.03629292,-1.4389830972301716
0.009712216,24 h,CK,35,TH1,0.009712216,-2.0082329000727075
0.004877104,24 h,CK,36,YC1,0.004877104,-2.3030232842802443
0.915338368,24 h,CK,37,XC,0.915338368,-0.0383708893071403
0.556958688,24 h,CK,38,LS2,0.556958688,-0.25409904803652195
0.018509424,24 h,CK,39,NJ,0.018509424,-1.7302670689698736
0.8678616560000001,24 h,CK,40,BS,0.8678616560000001,-0.061499460256042526
0.029407624,24 h,CK,41,WL,0.029407624,-1.5300657591626068
0.007359040000000001,24 h,CK,42,SN,0.007359040000000001,-2.1273170638853816
0.086278248,24 h,TR,1,YY,0.086278248,-1.0635956089438652
0.014977224,24 h,TR,2,BB,0.014977224,-1.8216786128735316
0.05090752800000001,24 h,TR,3,SQ,0.05090752800000001,-1.2923657233610584
0.010547184,24 h,TR,4,CY,0.010547184,-1.9727652405796707
0.003615256,24 h,TR,5,WZ,0.003615256,-2.430011255777735
0.002402128,24 h,TR,6,SH2,0.002402128,-2.6016904771079172
0.010107544,24 h,TR,7,WF,0.010107544,-1.9910787393583311
0.006597152,24 h,TR,8,LS1,0.006597152,-2.1741098441111366
0.004552535999999999,24 h,TR,9,DL,0.004552535999999999,-2.332310257737043
0.005786080000000001,24 h,TR,10,ZY,0.005786080000000001,-2.2301738395312696
0.003304144,24 h,TR,11,BJ,0.003304144,-2.4679920769415493
0.005163623999999999,24 h,TR,12,ZQ,0.005163623999999999,-2.2787151415364697
0.002126744,24 h,TR,13,RL,0.002126744,-2.6523297092246287
0.004435144,24 h,TR,14,LZ,0.004435144,-2.3434089186562512
0.004195023999999999,24 h,TR,15,HF,0.004195023999999999,-2.367034405048468
0.001714712,24 h,TR,16,AY,0.001714712,-2.7411922889393217
0.033366008,24 h,TR,17,MH,0.033366008,-1.4753960894638616
0.009290208,24 h,TR,18,HZ,0.009290208,-2.027324787685779
0.000641712,24 h,TR,19,HK,0.000641712,-3.129764694573719
0.00014268,24 h,TR,20,GL,0.00014268,-3.6149660137279893
0.002798384,24 h,TR,21,YC2,0.002798384,-2.537844076410343
0.001009896,24 h,TR,22,LY,0.001009896,-2.9547177137738507
0.00100108,24 h,TR,23,YT1,0.00100108,-2.9581811258090305
0.004639303999999999,24 h,TR,24,CQ,0.004639303999999999,-2.3242854328308677
0.015817528,24 h,TR,25,SY,0.015817528,-1.7981243775103088
0.0901146,24 h,TR,26,TZ,0.0901146,-1.0447231721439747
0.033310096,24 h,TR,27,SH1,0.033310096,-1.476122276465719
0.003137568,24 h,TR,28,XN,0.003137568,-2.489781101145555
0.005802088,24 h,TR,29,CF,0.005802088,-2.228994319466779
0.009467456,24 h,TR,30,ATS,0.009467456,-2.0192035263860495
0.069579584,24 h,TR,31,YT2,0.069579584,-1.15689445081101
0.035877176,24 h,TR,32,JC,0.035877176,-1.4439729292547852
0.07602524,24 h,TR,33,XY,0.07602524,-1.1184713251569487
0.08569987200000001,24 h,TR,34,WH,0.08569987200000001,-1.0665133600503056
0.020219728,24 h,TR,35,TH1,0.020219728,-1.6920821098177299
0.005084976000000001,24 h,TR,36,YC1,0.005084976000000001,-2.285253249514417
2.479322056,24 h,TR,37,XC,2.479322056,0.3943504602048007
0.915938088,24 h,TR,38,LS2,0.915938088,-0.03808646840165412
0.07425809600000001,24 h,TR,39,NJ,0.07425809600000001,-1.128671739223971
0.823239936,24 h,TR,40,BS,0.823239936,-0.08442081867837561
0.032502504,24 h,TR,41,WL,0.032502504,-1.486749043133886
0.02024834,24 h,TR,42,SN,0.02024834,-1.6914710143623748
0.018551416,48 h,CK,1,YY,0.018551416,-1.729288191327566
0.007542552000000001,48 h,CK,2,BB,0.007542552000000001,-2.116761597647836
0.005655232,48 h,CK,3,SQ,0.005655232,-2.239937164772856
0.000459128,48 h,CK,4,CY,0.000459128,-3.2524887586069897
0.002126976,48 h,CK,5,WZ,0.002126976,-2.652284463308903
0.00245572,48 h,CK,6,SH2,0.00245572,-2.5924867284150306
0.007720264,48 h,CK,7,WF,0.007720264,-2.1067785855836387
0.004262768,48 h,CK,8,LS1,0.004262768,-2.3602378809849256
0.003688336,48 h,CK,9,DL,0.003688336,-2.4215515089521498
0.003082816,48 h,CK,10,ZY,0.003082816,-2.4971884674092975
0.00289536,48 h,CK,11,BJ,0.00289536,-2.523550974070057
0.000706672,48 h,CK,12,ZQ,0.000706672,-3.093303017380248
0.00074588,48 h,CK,13,RL,0.00074588,-3.0726912433845004
0.0006586480000000001,48 h,CK,14,LZ,0.0006586480000000001,-3.1199596827568175
0.003076784,48 h,CK,15,HF,0.003076784,-2.498012313280238
0.0005510000000000001,48 h,CK,16,AY,0.0005510000000000001,-3.186419011431808
0.003641704,48 h,CK,17,MH,0.003641704,-2.4269305717935836
0.007512856,48 h,CK,18,HZ,0.007512856,-2.118452384970495
0.004643248000000001,48 h,CK,19,HK,0.004643248000000001,-2.3239241677335825
0.002299584,48 h,CK,20,GL,0.002299584,-2.619864042523413
0.000300208,48 h,CK,21,YC2,0.000300208,-3.3977142342377147
0.000201376,48 h,CK,22,LY,0.000201376,-3.52089133557339
0.010156728,48 h,CK,23,YT1,0.010156728,-1.9889911614638924
0.003189072,48 h,CK,24,CQ,0.003189072,-2.482926619414748
0.010786144,48 h,CK,25,SY,0.010786144,-1.9631259252098536
0.084502056,48 h,CK,26,TZ,0.084502056,-1.072619082603944
0.134375328,48 h,CK,27,SH1,0.134375328,-0.8713573877531903
0.004509384,48 h,CK,28,XN,0.004509384,-2.3363571100281737
0.003294632,48 h,CK,29,CF,0.003294632,-2.469207299154262
0.004483864,48 h,CK,30,ATS,0.004483864,-2.3387682760593673
0.258380488,48 h,CK,31,YT2,0.258380488,-0.5875722350604097
0.00634288,48 h,CK,32,JC,0.00634288,-2.1909199574047253
0.004369488,48 h,CK,33,XY,0.004369488,-2.3497422244095283
0.008554072,48 h,CK,34,WH,0.008554072,-2.062779495886472
0.011691176,48 h,CK,35,TH1,0.011691176,-1.9284428781245144
0.00408436,48 h,CK,36,YC1,0.00408436,-2.378370958154237
0.03499836,48 h,CK,37,XC,0.03499836,-1.454713175830191
0.031052968,48 h,CK,38,LS2,0.031052968,-1.506500571007434
0.014120448,48 h,CK,39,NJ,0.014120448,-1.8470867214077225
0.5414610879999999,48 h,CK,40,BS,0.5414610879999999,-0.26635254793071217
0.041644696,48 h,CK,41,WL,0.041644696,-1.3793986972885182
0.009528443999999999,48 h,CK,42,SN,0.009528443999999999,-2.016443891153141
0.024297824,48 h,TR,1,YY,0.024297824,-1.6126489059126614
0.004301976,48 h,TR,2,BB,0.004301976,-2.356352329591844
0.007952496,48 h,TR,3,SQ,0.007952496,-2.0940694822398274
0.002010744,48 h,TR,4,CY,0.002010744,-2.6755644365782976
0.007292688,48 h,TR,5,WZ,0.007292688,-2.13119762232103
0.002994656,48 h,TR,6,SH2,0.002994656,-2.509387619860316
0.017173104,48 h,TR,7,WF,0.017173104,-1.762629612117465
