Sample_ID,LNRR,Response_Group,OPR,NaHCO3_P,DOC,OPR_FeP,FeII,NH4_NO3_Ratio,log_nosZ_norB_Ratio
YY,0.1665140856299654,Promoted,278.6,0.0259021370645345,0.322521878212912,1.107852371601633,5.588016272,1.448768818426598,0.488045710232009
BB,0.7251425226660873,Promoted,208.4,0.0016023373731805,0.2900924522019738,-0.0072369682494418,1.670276144,0.0767879072569096,0.0513494819101888
SQ,1.080996272963314,Promoted,174.0,0.003960739341353,0.2015927317925634,0.5222116353770616,18.762700752,12.39237703938005,0.2190062066953022
CY,0.3439253820819783,Promoted,181.4,0.0219866311386214,0.1493031657159772,0.1971918149341747,4.76420216,1.568519837789062,0.0125804243968945
WZ,0.5122010455546112,Promoted,254.8,0.0217741782178217,0.5738762711443642,1.438342081804124,1.495863648,1.680994917153659,0.1551534933023184
SH2,-0.1036470698067401,Suppressed,197.6,0.022659294117647,0.2753852376212012,0.0370338566061572,31.866387408,2.704478574884854,0.2329391756103628
WF,0.4262950312873049,Promoted,179.8,0.0047015791523801,0.6940032567198962,0.4025033578837514,5.545266816,13.23013964631458,-0.3145454141407669
LS1,0.3065037814770032,Promoted,194.4,0.028082213592233,0.2913559712701936,0.1743886753593208,12.104693296,5.189760752598402,0.0346984221855398
DL,0.256488933693225,Promoted,229.8,0.0565676067423989,0.2082123804602848,-0.1852667628923058,2.011517984,3.880449861772812,0.1654708330697087
ZY,0.1060696098197843,Promoted,202.8,0.089533294117647,0.2356568768473124,-0.2113934829642741,6.932983632,5.617969334388262,0.205037972176969
BJ,0.0172648232482896,Promoted,170.2,0.0222801407457335,0.196803909832069,0.5670839428904415,0.258445472,2.553758587994626,0.1000292134746302
ZQ,0.1898201250417681,Promoted,257.8,0.0511054876477939,0.3995705393420228,0.3090968427529596,1.230453328,1.093147767314931,0.3293850601216734
RL,-0.1912163737456066,Suppressed,275.2,0.0355546293546544,0.191893668152484,0.8097134526942272,24.59414464,1.486321790374971,0.0964275239689599
LZ,0.0436506531436014,Promoted,141.0,0.0174249724890152,0.2109256468870064,1.020478101741959,27.195165776,0.0294991026629796,0.2345739200172134
HF,0.5861919539862114,Promoted,224.4,0.0312897837187128,0.2631404774991354,0.1999291049429844,8.426864576,0.414200691814242,0.2864845872245591
AY,0.7499491251907943,Promoted,219.6,0.0105613479932218,0.146136640611556,-0.1185039595434129,9.905579216,1.080231859834246,0.1022424806639159
